pcode_region,pcode_region,region,id_007_district,pcode_district,district,id_008_community_name,community_code,pop_tot,pop_ad,pop_children,pop_admale,pop_adfemale,pop_girls,pop_boys,pop_ch_0_2,pop_ch_3_5,pop_ch_6_11,pop_ch_12_14,pop_ch_15_17,pop_girls_0_2,pop_girls_3_5,pop_girls_6_11,pop_girls_12_14,pop_girls_15_17,pop_boys_0_2,pop_boys_3_5,pop_boys_6_11,pop_boys_12_14,pop_boys_15_17,N_gch_kinderg,N_bch_kinderg,N_ch_kinderg,N_gch_prim,N_bch_prim,N_ch_prim,N_gch_jh,N_bch_jh,N_ch_jh,N_gch_sh,N_bch_sh,N_ch_sh,N_gch_voc,N_bch_voc,N_ch_voc,birth_cert,kinderg,kinderg_n,kinderg_c,kinderg_d,primary,primary_n,primary_c,primary_d,jhigh,jhigh_n,jhigh_c,jhigh_d,shigh,shigh_d,voc,voc_n,voc_c,voc_d,health_primary,distance to nearest primary healthcare centre,health_secondary,health_secondary_d,electricity,mobile,internet,road3,ngo,buycompany,cocoa_org,flead,mlead,lead,traingender,lead_pos,lead_mpos,lead_fpos,cap,revenue,revenue_forchild,ccpc,women_perc1,women_perc2,women_edu,women_percread,women_percnoed,men_edu,men_percread,men_percnoed,women_perccare,women_percchild05,women_percliv,women_percland,women_perclandcul,childprot,childrem,waterpoint,waterpoint_dist1,waterpoint_dist2,reducemeal,cocoa_landsize,cocoa_femalefarm,cocoa_malefarm,cocoa_farm,cocoa_prod1,cocoa_prod2,cocoa_prod3,cocoa_prod4,extserv,extserv_female,extserv_male,extserv_tot,input_av,input_af,casualwork_av,casualwork_cost,agrserv,CED_N_gch_prim,CED_N_bch_prim,CED_N_ch_prim,CED_N_ch_primotherc,CED_N_gch_prim1,CED_N_bch_prim1,CED_N_ch_prim1,CED_N_cl_prim1,CED_N_gch_prim2,CED_N_bch_prim2,CED_N_ch_prim2,CED_N_cl_prim2,CED_N_gch_prim3,CED_N_bch_prim3,CED_N_ch_prim3,CED_N_cl_prim3,CED_N_gch_prim4,CED_N_bch_prim4,CED_N_ch_prim4,CED_N_cl_prim4,CED_N_gch_prim5,CED_N_bch_prim5,CED_N_ch_prim5,CED_N_cl_prim5,CED_N_gch_prim6,CED_N_bch_prim6,CED_N_ch_prim6,CED_N_cl_prim6,CED_N_ch_js,CED_teacher,CED_class_prim,CED_gattend_prim1,CED_battend_prim1,CED_attend_prim1,CED_gattend_prim6,CED_battend_prim6,CED_attend_prim6,CED_gdropout_prim1,CED_bdropout_prim1,CED_dropout_prim1,CED_gdropout_prim6,CED_bdropout_prim6,CED_dropout_prim6,CED_ptratio_prim,CED_toilet_prim,CED_outofsch,CED_scholarship,CED_feed_prim,CED_Ncl_prim,lcommp_clab
7,CI03,Agnéby-Tiassa,47,CI0301,Agboville,ACHI-BROU HO,AGB001,669,362,307,187,175,153,154,66,42,150,22,25,30,24,73,14,12,36,18,77,9,14,0,0,0,11,16,27,0,0,0,0,0,0,0,0,0,0-40,0,0,0,9,1,1,2,0,0,0,0,34,0,34,0,0,0,34,0,8,0,33,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0-30,0-30,Primary 4-6,0-30,61-80,Primary 4-6,61-80,31-60,81-100,0-30,0-30,0-30,0-30,0,0,0,60,1,1,2,5,90,95,15,1,1425,95,0,0,0,0,1,0,1,2000,0,11,16,27,0,3,7,10,1,8,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,100,100,0,0,0,0,14.28999996,7.150000095,0,0,0,14,0,0,0,0,2,0.022989519
7,CI03,Agnéby-Tiassa,47,CI0301,Agboville,AZAGUIE-M'BROME,AGB002,1318,648,671,324,324,327,344,183,53,306,76,52,86,32,149,35,25,97,21,157,42,27,0,0,0,132,128,260,0,0,0,0,0,0,0,0,0,70-100,0,0,0,5,1,1,6,0,0,0,0,9,0,9,0,0,0,9,1,0,0,9,1,1,0,0,1,1,1,0,1,1,1,5,4,1,1,1,1,1,61-80,61-80,Junior High School,61-80,31-60,Junior High School,61-80,0-30,81-100,31-60,61-80,0-30,0-30,1,1,1,30,0,1,2.5,5,150,155,19,1.25,2945,194,1,2,30,32,1,1,1,2000,1,132,128,260,99,23,24,47,1,23,27,50,1,31,30,61,1,31,17,48,1,13,18,31,1,11,12,23,1,21,6,6,93.33999634,96,94.66999817,97.26000214,97.69999695,97.48000336,6.659999847,4,5.329999924,0,0,0,43,0,0,0,1,6,0.336472243
7,CI03,Agnéby-Tiassa,47,CI0301,Agboville,ELEVI,AGB003,3574,2002,1571,1001,1001,790,781,320,333,565,222,132,147,179,298,107,59,173,154,266,115,73,25,17,42,235,245,480,74,95,169,62,86,148,4,7,11,70-100,1,1,2,0,1,2,8,0,0,0,0,9,0,9,0,0,0,9,1,0,0,20,1,1,1,0,0,0,0,0,0,0,0,12,9,3,1,1,1,0,31-60,31-60,Primary 4-6,0-30,61-80,Senior High School,61-80,31-60,81-100,0-30,61-80,0-30,0-30,0,1,1,20,0,1,3,9,500,509,23,1.5,11707,764,0,0,0,0,1,1,1,2000,1,235,245,480,0,71,74,145,2,64,59,123,2,20,23,43,1,26,31,57,1,33,38,71,1,21,20,41,1,25,6,8,91.58000183,87.56500244,89.57499695,49.10499954,49.06499863,49.08499908,0.665000021,0,0.335000008,0,0.524999976,0.264999986,77,1,0,0,0,8,0.042559616
16,CI20,Indénié-Djuablin,48,CI2002,Agnibilékro,ASSEMIANKRO,AGN001,478,273,205,134,139,100,105,32,38,96,14,25,16,19,46,7,12,16,19,50,7,13,0,0,0,24,35,59,37,28,65,7,19,26,1,2,3,0-40,0,0,0,18,0,0,0,7,0,0,0,18,0,72,0,0,0,72,0,18,0,72,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,31-60,31-60,Primary 1-3,0-30,61-80,Junior High School,31-60,31-60,81-100,81-100,31-60,0-30,0-30,0,0,1,30,0,1,1,5,50,55,8,0.5,440,28,0,0,0,0,1,0,1,2000,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,0,,0,0,0,0.218253568
16,CI20,Indénié-Djuablin,48,CI2002,Agnibilékro,N'GUESSANKRO,AGN002,3573,1814,1760,907,907,889,871,482,372,609,146,148,229,193,322,69,76,254,179,288,78,72,0,0,0,214,260,474,0,0,0,0,0,0,0,0,0,70-100,0,0,0,7,1,2,12,0,0,0,0,7,0,22,0,0,0,22,1,0,0,22,1,1,0,0,1,1,1,0,2,2,1,8,8,0,1,1,1,0,31-60,61-80,Primary 1-3,0-30,61-80,Junior High School,31-60,31-60,81-100,0-30,31-60,0-30,0-30,0,1,1,5,0,1,5,5,500,505,38,2.5,19190,1263,1,83,247,330,1,0,1,2000,0,214,260,474,18,54,52,106,2,35,37,72,2,41,51,92,2,47,57,104,2,15,31,46,2,22,32,54,2,51,12,12,94.5,94,94.25,95,95,95,0,0,0,0,0,0,40,1,0,0,0,12,0.083381608
7,CI03,Agnéby-Tiassa,49,CI2402,Akoupé,DAGUIKOI,AKP001,621,315,304,152,163,155,149,69,48,117,36,35,33,25,60,17,20,35,23,57,19,15,0,0,0,77,81,158,0,0,0,0,0,0,0,0,0,0-40,0,0,0,5,1,1,6,0,0,0,0,5,0,5,0,0,0,5,0,5,0,5,0,1,0,1,1,1,1,0,3,3,0,10,7,3,1,0,0,0,0-30,0-30,Primary 1-3,0-30,61-80,Senior High School,61-80,31-60,61-80,61-80,0-30,61-80,61-80,0,0,1,50,0,1,1,90,50,140,8,0.5,1120,70,1,3,17,20,1,0,1,2000,0,77,81,158,9,17,28,45,1,14,14,28,1,9,8,17,1,12,8,20,1,7,13,20,1,18,10,28,1,20,6,6,88.23000336,92.84999847,90.54000092,83.33000183,100,91.66999817,0,0,0,0,0,0,26,1,0,0,0,6,0.095310181
7,CI03,Agnéby-Tiassa,50,CI2403,Alépé,YAKASSE-COMOE,ALP001,1525,830,695,415,415,343,352,90,157,289,104,55,45,82,143,45,28,45,75,146,59,27,0,0,0,122,124,246,0,0,0,0,0,0,0,0,0,70-100,0,0,0,12,1,2,12,0,0,0,0,12,0,12,0,0,0,12,1,0,0,12,0,1,0,1,1,1,1,0,1,1,0,8,7,1,1,0,0,0,0-30,81-100,Junior High School,31-60,31-60,Senior High School,61-80,0-30,81-100,31-60,31-60,0-30,0-30,0,0,1,20,0,1,5,14,200,214,38,2.5,8132,535,0,0,0,0,1,1,1,1500,1,127,126,253,4,26,21,47,2,12,29,41,2,26,24,50,2,24,17,41,2,11,6,17,1,28,29,57,2,53,11,11,98.78500366,97.19499969,97.99000549,97.96499634,98.125,98.04499817,2,1.5,1.75,3.329999924,3.329999924,3.329999924,23,0,0,1,1,11,0
8,CI06,Belier,51,CI0201,Attiégouakro,LABOKRO,ATG001,2431,1362,1070,681,681,524,546,143,213,475,131,106,62,109,235,58,60,82,105,240,73,46,0,0,0,205,199,404,0,0,0,0,0,0,0,0,0,70-100,0,0,0,10,1,2,11,0,0,0,0,10,0,10,0,0,0,31,1,0,0,10,1,0,0,0,0,0,1,0,0,0,1,5,4,1,0,0,0,0,0-30,0-30,Primary 4-6,31-60,31-60,Primary 4-6,31-60,31-60,81-100,31-60,61-80,31-60,31-60,0,0,1,5,0,1,1,20,170,190,8,0.5,1520,95,1,1,25,26,0,0,1,1500,1,205,199,404,0,45,34,79,2,43,35,78,2,36,48,84,2,38,33,71,2,18,17,35,1,25,32,57,1,53,11,10,98.70500183,98.70500183,98.70500183,48.70999908,48.70999908,48.70999908,1.789999962,1.789999962,1.789999962,1.289999962,1.289999962,1.289999962,36,1,0,0,1,10,0.30466041
8,CI06,Belier,51,CI0201,Attiégouakro,TOKORE-YAOKRO,ATG002,769,420,351,210,210,170,181,89,73,123,37,27,42,38,60,18,12,48,35,63,20,15,0,0,0,13,23,36,1,6,7,0,6,6,1,3,4,70-100,0,0,0,25,1,1,3,0,0,0,0,18,0,18,0,0,0,36,0,18,0,36,1,1,0,1,1,0,0,0,0,0,0,18,15,3,0,0,0,0,0-30,0-30,Primary 4-6,0-30,61-80,Senior High School,31-60,31-60,81-100,61-80,81-100,61-80,31-60,1,1,1,15,0,1,2,0,20,20,15,1,300,20,1,0,14,14,1,0,0,,1,24,33,57,0,11,10,21,1,8,12,20,0,0,0,0,0,4,8,12,1,1,3,4,1,0,0,0,0,0,3,3,100,100,100,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0.130053133
9,CI16,Guémon,34,CI1601,Bangolo,DIEBLY,BGL002,1797,1026,772,504,522,371,401,155,146,285,91,95,72,74,144,37,44,83,72,141,54,51,0,0,0,108,134,242,0,0,0,0,0,0,0,0,0,70-100,0,0,0,42,1,1,6,0,0,0,0,6,0,42,0,0,0,84,0,6,0,6,0,1,1,0,0,1,1,0,2,2,0,9,8,1,1,1,1,0,0-30,0-30,Primary 1-3,0-30,31-60,Junior High School,61-80,0-30,81-100,31-60,61-80,31-60,0-30,0,0,1,10,0,1,4,30,300,330,31,2,10230,660,1,18,24,42,1,0,1,2000,0,108,134,242,0,37,43,80,1,10,35,45,1,15,21,36,1,20,18,38,1,13,15,28,1,6,9,15,1,15,4,6,96.34999847,97.73999786,97.05000305,100,100,100,0,0,0,0,0,0,61,1,0,0,1,6,0.088553391
